"","algorithm","type","filesize","time_allocation","time_algorithm","time_ioops","time_elapsed"
"731","ROT-13","SEQ",4.45,0.063483,1.88177,0.004433,1.949686
"741","ROT-13","SEQ",4.45,0.063585,0.118308,0.004754,0.186647
"751","ROT-13","SEQ",4.45,0.063227,0.118226,0.004674,0.186127
"761","ROT-13","SEQ",4.45,0.063719,0.11832,0.004432,0.186472
"771","ROT-13","SEQ",4.45,1.936696,0.118395,0.004441,2.059532
"781","ROT-13","SEQ",4.45,0.063934,0.117941,0.004388,0.186262
"791","ROT-13","SEQ",4.45,0.063844,0.118275,0.004519,0.186639
"801","ROT-13","SEQ",4.45,0.064157,0.11799,0.004465,0.186612
"811","ROT-13","SEQ",8.9,0.125882,0.236306,0.009488,0.371675
"821","ROT-13","SEQ",8.9,0.126978,0.23684,0.009197,0.373014
"831","ROT-13","SEQ",8.9,0.126432,0.236218,0.009746,0.372395
"841","ROT-13","SEQ",8.9,1.873433,0.236357,0.009505,2.119296
"851","ROT-13","SEQ",8.9,0.127024,1.763538,0.009348,1.899909
"861","ROT-13","SEQ",8.9,0.126446,0.236262,0.009213,0.37192
"871","ROT-13","SEQ",8.9,0.126271,0.236114,0.009243,0.371627
"881","ROT-13","SEQ",8.9,1.873074,0.23683,0.009609,2.119513
"891","ROT-13","SEQ",8.9,0.126496,1.763352,0.009666,1.899514
"901","ROT-13","SEQ",8.9,0.126462,0.235884,0.009527,0.371873
"911","ROT-13","SEQ",8.9,0.203898,0.236011,0.009345,0.449254
"921","ROT-13","SEQ",8.9,0.126648,0.236628,0.009089,0.372364
"931","ROT-13","SEQ",8.9,0.126375,0.240817,0.008976,0.376167
"941","ROT-13","SEQ",8.9,0.126628,1.762635,0.011609,1.900872
"951","ROT-13","SEQ",8.9,0.126515,0.236914,0.009199,0.372629
"961","ROT-13","SEQ",8.9,0.126738,0.236567,0.009215,0.372521
"971","ROT-13","SEQ",8.9,0.126713,0.236492,0.009401,0.372605
"981","ROT-13","SEQ",8.9,1.873669,0.236699,0.009302,2.11967
"991","ROT-13","SEQ",8.9,0.126489,1.763577,0.009452,1.899518
"1001","ROT-13","SEQ",8.9,0.126191,0.23685,0.009386,0.372427
